order_id,customer_name,email,phone,city,product,category,quantity,unit_price,payment_method,order_date,status
ORD00001,Sara Sharma,sarasharma-test,+91-0133890838,Delhi ,Running Shoes,Sports,two,-2804.70,upi,2024-04-14,cancelled
ORD00002,  Emma Walker  ,emmawalker@gmial.com,9593103413,Bengaluru,Building Blocks Set,Home and Kitchen,6,"1,059.68",,14/03/2024,Shipped
ORD00003,Neha Nair,neha.nair@outlook.com,+91-3056413953,Bengaluru,Backpack,,9,1623.93,upi,12/08/2024,
ORD00004,John Patel,john.patel@gmail.com,78480 18451,Bengaluru,Running Shoes,Clothing,5,$2970.70,credit card,"October 02, 2025",Shipped
ORD00005,Ravi Taylor,ravi.taylor-test,None,,Kitchen Knife Set,Home and Kitchen,2,1584.26,Net Banking,08-May-2024,DELIVERED
ORD00006,Karan Joshi,karan.joshi@yahoo.com,5787133,Pune,Cotton T-Shirt,Home & Kitchen,-1,355.74,credit card,"June 10, 2025",
ORD00007,Mike Lewis,mike.lewis@gmial.com,16566 70106,London,Desk Lamp,electronics,7,697.84,COD,"July 17, 2025",Delivered
ORD00008,John Jones,john.jones@yahoo.com,4746872343,Hyderabad,Cotton T-Shirt,SPORTS,8,399.45,credit card,2024-07-09,Shipped
ORD00009,Rahul Khan,rahul.khan@gmial.com,54353 46247,,Desk Lamp,electronics,NULL,$662.61,CC,23/12/2024,cancelled
ORD00010,Zoya Brown,zoyabrown-test,4124118,Delhi ,Coffee Maker,Books,8,2970.58,Cash on Delivery,10-10-2024,DELIVERED
ORD00011,Karan Brown,karan.brown@yahoo.com,982-620-4505,New York,Novel - Fiction,Home & Kitchen,7,$415.15,Debit Card,15/06/2024,Pending
ORD00012,Amit Brown,amit.brown@yahoo.com,160-733-7543,Mumbai,Sunglasses,,5,939.52,Net Banking,2024-12-05,Cancelled
ORD00013,Neha Singh,neha.singh@outlook.com,169-340-6088,Bangalore,Bluetooth Headphones,Toys,6,1596.97,UPI,03-Jun-2025,cancelled
ORD00014,Rahul Wilson,rahul.wilson@yahoo.com,+91-8044369957,Chennai,Backpack,,3,"1,700.60",,26/09/2025,Cancelled
ORD00015,  Linda Mehta  ,linda.mehta@gmial.com,367-632-0163,London,Building Blocks Set,SPORTS,2,1178.12,PayPal,20-Nov-2024,Pending
ORD00016,Fatima Nair,fatima.nair@outlook.com,3471434558,MUMBAI,Building Blocks Set,Clothing,2,"1,158.17",Cash on Delivery,04-Mar-2024,Pending
ORD00017,Vikram Sharma,vikram.sharma@outlook.com,6889373467,Bengaluru,Novel - Fiction,Books,8,407.57,PayPal,2025-07-31,Pending
ORD00018,Ravi Nair,ravi.nair@gmial.com,6417080531,London,Yoga Mat,Electronics,two,$774.00,credit card,31-Jul-2025,Cancelled
ORD00019,Emma Brown,emma.brown@outlook.com,n/a,Hyderabad,Smart Watch,,4,$4151.16,UPI,2025/09/06 00:00:00,Delivered
ORD00020,Emma Lewis,NaN,1657262,London,Face Cream,Sports,6,740.30,COD,2024/09/06 00:00:00,Pending
ORD00021,David Sharma,david.sharma@outlook.com,480-831-3678,new york,Building Blocks Set,Sports,2,1100.32,PayPal,2025/01/12 00:00:00,cancelled
ORD00022,Ananya Lewis,ananya.lewis@yahoo.com,233-749-8941, Delhi,Coffee Maker,Home & Kitchen,3,3001.18,CC,2025-05-17,Cancelled
ORD00023,Kavya Clark,kavya.clark@gmail.com,1902294,London,Wireless Mouse,Toys,9,570.34,Cash on Delivery,2024-11-08,delivered
ORD00024,Mike Mehta,,97403 44713,London,Cotton T-Shirt,,2,$406.11,CC,03-14-2024,Cancelled
ORD00025,Tom Khan,tom.khan@gmial.com,65940 13990,Hyderabad,Novel - Fiction,Electronics,8,$407.08,Cash on Delivery,18-May-2025,cancelled
ORD00026,Ananya Verma,ananya.verma@outlook.com,8071545168,New York,Running Shoes,SPORTS,10,-2755.34,Net Banking,14-May-2024,
ORD00027,Sara Sharma,sara.sharma@gmail.com,NULL,Chennai,Cotton T-Shirt,electronics,5,400.42,COD,2025/04/28 00:00:00,DELIVERED
ORD00028,Rahul Mehta,NaN,8404499,Chennai,Sunglasses,Books,6,$1146.69,Debit Card,"February 24, 2025",
ORD00029,Rahul Kapoor,rahul.kapoor@gmail.com,5171870262,Chennai,Backpack,Home and Kitchen,6,free,COD,2025-07-08,Shipped
ORD00030,Zoya Jones,zoya.jones@gmail.com,0050455,Bengaluru,Bluetooth Headphones,Beauty,10,free,PayPal,"May 26, 2024",Cancelled
ORD00031,Tom Reddy,tomreddy@yahoo.com,946-474-3671,Bengaluru,Building Blocks Set,Beauty,1,1428.22,,"February 20, 2024",
ORD00032,Zoya Jones,zoya.jones@yahoo.com,+91-0470952145,MUMBAI,Backpack,Home & Kitchen,9,"1,600.15",UPI,05-08-2025,cancelled
ORD00033,Sara Nair,sara.nair@gmial.com,5160481,Bengaluru,Cotton T-Shirt,,1,418.08,,05-Mar-2024,Cancelled
ORD00034,Ananya Khan,ananya.khan@yahoo.com,+91-7586926179, Delhi,Coffee Maker,Electronics,4,3768.05,upi,"July 11, 2025",cancelled
ORD00035,Priya Kapoor,priya.kapoor@yahoo.com,0053293,Delhi ,Cricket Bat,Home & Kitchen,1,$2003.09,Net Banking,2024-09-13,Delivered
ORD00036,Ravi Sharma,ravi.sharma@gmail.com,117-758-9178,Hyderabad,Desk Lamp,Electronics,5,785.59,COD,2025-02-15,
ORD00037,Tom Smith,tom.smith-test,984-789-6118,Bengaluru,Running Shoes,Sports,7,2415.02,upi,18/09/2024,
ORD00038,John Smith,john.smith@yahoo.com,88516 56049,Bangalore,Bluetooth Headphones,electronics,4,"1,707.23",upi,2024/04/27 00:00:00,Shipped
ORD00039,Ananya Lewis,ananya.lewis-test,4024455,New York,Desk Lamp,Toys,2,$877.66,COD,12-15-2024,cancelled
ORD00040,Vikram Walker,NULL,+91-6797643815,mumbai,Running Shoes,Home and Kitchen,5,-2044.60,Debit Card,04/11/2024,Cancelled
ORD00041,Zoya Verma,zoya.verma@yahoo.com,+91-5160607159,Hyderabad,Novel - Fiction,Toys,1,$414.08,PayPal,04-16-2025,delivered
ORD00042,Ananya Khan,ananya.khan@outlook.com,1818835523,MUMBAI,Face Cream,Home and Kitchen,2,565.19,PayPal,2025/04/04 00:00:00,cancelled
ORD00043,David Gupta,david.gupta@gmail.com,-,Chennai,Backpack,Electronics,2,1672.56,Credit Card,2025/04/05 00:00:00,Shipped
ORD00044,David Walker,david.walker@outlook.com,null,Mumbai,Wireless Mouse,Home & Kitchen,10,517.24,Cash on Delivery,"February 22, 2025",Delivered
ORD00045,David Smith,david.smith-test,+91-9254629148,New York,Novel - Fiction,Books,9,-292.25,UPI,07-03-2024,
ORD00046,Mike Jones,mike.jones-test,059-296-2229,new york,Coffee Maker,Sports,8,-3444.94,COD,2024/07/17 00:00:00,
ORD00047,Tom Wilson,tom.wilson-test,+91-7581814124,,Novel - Fiction,SPORTS,4,393.21,Cash on Delivery,02-24-2024,Shipped
ORD00048,  Rahul Smith  ,rahul.smith@outlook.com,472-779-0104,  ,Sunglasses,Clothing,2,$1109.36,Credit Card,2024/09/01 00:00:00,
ORD00033,Sara Nair,sara.nair@gmial.com,5160481,Bengaluru,Cotton T-Shirt,,1,418.08,,05-Mar-2024,Cancelled
ORD00050,Vikram Jones,vikram.jones@gmial.com,+91-8518888806,Mumbai,Wireless Mouse,,6,668.13,,"April 16, 2024",cancelled
ORD00051,Ravi Patel,ravi.patel@gmial.com,22170 43030,,Backpack,Home and Kitchen,5,$1302.62,Credit Card,12-05-2024,Pending
ORD00052,Rahul Nair,rahul.nair-test,NaN,mumbai,Running Shoes,Toys,6,"2,101.76",UPI,01-Apr-2025,DELIVERED
ORD00053,Tom Taylor,tom.taylor@outlook.com,0165820297,MUMBAI,Sunglasses,electronics,10,$812.14,upi,2025-01-15,DELIVERED
ORD00054,Chris Taylor,null,681-447-3947,mumbai,Cotton T-Shirt,Clothing,8,478.36,credit card,07-17-2025,DELIVERED
ORD00055,Neha Taylor,nehataylor@gmial.com,5782911,Bengaluru,Cotton T-Shirt,Toys,2,391.02,Net Banking,24/08/2025,Pending
ORD00056,Chris Patel,chris.patel@yahoo.com,4143842498,Pune,Coffee Maker,,10,3590.15,Credit Card,"January 30, 2024",Cancelled
ORD00057,Mike Singh,mike.singh@outlook.com,647-102-7677,Bangalore,Building Blocks Set,Beauty,6,$1426.99,Net Banking,29/07/2025,
ORD00058,Sara Reddy,sara.reddy-test,25953 27877,Chennai,Wireless Mouse,Electronics,4,n/a,COD,"September 03, 2025",
ORD00059,ZOYA LEWIS,zoya.lewis@outlook.com,6098358,Chennai,Bluetooth Headphones,SPORTS,2,1276.35,upi,25/07/2025,Shipped
ORD00060,  Olivia Joshi  ,olivia.joshi@gmial.com,82595 26949,Pune,Wireless Mouse,SPORTS,1,567.46,PayPal,"November 11, 2024",Delivered
ORD00061,Olivia Clark,olivia.clark@gmail.com,96230 91307,Bengaluru,Kitchen Knife Set,Clothing,10,2218.43,Net Banking,"July 31, 2024",
ORD00062,Chris Kapoor,chris.kapoor@outlook.com,+91-3484344375,Bangalore,Sunglasses,SPORTS,2,1028.36,upi,05-29-2024,delivered
ORD00063,Emma Nair,emma.nair-test,+91-9933083301,Bangalore,Cotton T-Shirt,Sports,two,$407.04,COD,05-03-2025,cancelled
ORD00064,Zoya Patel,zoya.patel@gmail.com,2067240,mumbai,Desk Lamp,Books,8,$923.41,COD,2024-10-06,cancelled
ORD00065,Neha Nair,neha.nair-test,+91-9668516122,Bangalore,Wireless Mouse,Home & Kitchen,NaN,535.63,UPI,2025-08-19,Cancelled
ORD00066,Emma Jones,emma.jones@outlook.com,45933 27279,Bengaluru,Coffee Maker,SPORTS,4,free,COD,2025-06-24,delivered
ORD00067,Priya Lewis,priya.lewis-test,+91-9718707286,Hyderabad,Face Cream,Electronics,1,621.99,PayPal,03-15-2024,delivered
ORD00068,Fatima Patel,fatima.patel@yahoo.com,6567661825,MUMBAI,Sunglasses,SPORTS,1,"1,101.37",Net Banking,10/03/2025,Shipped
ORD00069,Tom Taylor,tom.taylor@gmial.com,033-119-0790,new york,Sunglasses,Electronics,1,855.20,PayPal,"November 22, 2024",cancelled
ORD00070,Linda Wilson,linda.wilson@gmail.com,+91-2687056856,MUMBAI,Face Cream,Home and Kitchen,4,$597.27,Credit Card,29-Jul-2025,DELIVERED
ORD00071,Rahul Jones,rahul.jones@gmail.com,046-990-1398,Chennai,Bluetooth Headphones,Home & Kitchen,1,$1326.20,credit card,"May 05, 2025",Shipped
ORD00072,Rahul Jones,rahul.jones@outlook.com,7717535,  ,Novel - Fiction,Home & Kitchen,-5,free,Debit Card,2024/12/03 00:00:00,Shipped
ORD00073,Kavya Lewis,kavya.lewis@gmial.com,5228728080,  ,Coffee Maker,,-2,$3751.02,CC,10-Jan-2024,cancelled
ORD00074,Priya Walker,priya.walker@gmail.com,0848408621,Pune,Sunglasses,Clothing,6,906.02,COD,"August 01, 2025",Shipped
ORD00075,Zoya Smith,zoya.smith@gmial.com,,new york,Kitchen Knife Set,Clothing,6,1949.02,Credit Card,"August 23, 2024",
ORD00076,Karan Patel,karan.patel@gmail.com,0392614,  ,Coffee Maker,Toys,3,3682.34,upi,24/02/2024,delivered
ORD00077,David Walker,david.walker@outlook.com,35866 29619,London,Novel - Fiction,Home & Kitchen,3,382.46,credit card,06-Jan-2024,cancelled
ORD00078,Karan Khan,karankhan@gmail.com,1995604,,Building Blocks Set,Home & Kitchen,3,"1,088.17",credit card,20-Jun-2024,Cancelled
ORD00079,Kavya Smith,kavya.smith@yahoo.com,065-965-7569, Delhi,Smart Watch,Books,3,"5,927.96",,17/05/2025,cancelled
ORD00080,Rahul Reddy,rahul.reddy-test,073-741-6724, Delhi,Bluetooth Headphones,,8,1793.22,Cash on Delivery,07-10-2025,delivered
ORD00081,Sara Jones,sara.jones@gmial.com,6101438,Delhi ,Backpack,Sports,9,1375.62,UPI,2025-03-01,delivered
ORD00082,Ravi Taylor,ravi.taylor@gmail.com,5140105,MUMBAI,Cotton T-Shirt,SPORTS,4,$446.52,,"March 18, 2025",Shipped
